Bairro;Data;Acidentes de Trânsito
Real ;01.03.2013;0
Flórida;01.03.2013;0
Solemar;01.03.2013;0
Cidade da Criança;01.03.2013;0
Princesa;01.03.2013;0
Imperador;01.03.2013;0
Melvi;01.03.2013;2
Samambaia;01.03.2013;0
Esmeralda;01.03.2013;0
Ribeirópolis;01.03.2013;0
Andaraguá;01.03.2013;0
Nova Mirim;01.03.2013;3
Anhanguera;01.03.2013;2
Quietude;01.03.2013;0
Santa Marina;01.03.2013;0
Tupiry;01.03.2013;5
Antártica;01.03.2013;3
Vila Sônia;01.03.2013;7
Glória;01.03.2013;3
Sítio do Campo;01.03.2013;12
Xixová;01.03.2013;13
Serra do Mar;01.03.2013;0
Não Informado;01.03.2013;0
Militar;01.03.2014;0
Canto do Forte;01.03.2014;5
Boqueirão;01.03.2014;23
Guilhermina;01.03.2014;21
Aviação;01.03.2014;10
Tupi;01.03.2014;6
Ocian;01.03.2014;12
Mirim;01.03.2014;4
Maracanã;01.03.2014;0
Caiçara;01.03.2014;0
Real ;01.03.2014;0
Flórida;01.03.2014;0
Solemar;01.03.2014;0
Cidade da Criança;01.03.2014;0
Princesa;01.03.2014;0
Imperador;01.03.2014;0
Melvi;01.03.2014;0
Samambaia;01.03.2014;0
Esmeralda;01.03.2014;0
Ribeirópolis;01.03.2014;1
Andaraguá;01.03.2014;0
Nova Mirim;01.03.2014;4
Anhanguera;01.03.2014;5
Quietude;01.03.2014;5
Santa Marina;01.03.2014;0
Tupiry;01.03.2014;1
Antártica;01.03.2014;4
Vila Sônia;01.03.2014;3
Glória;01.03.2014;3
Sítio do Campo;01.03.2014;6
Xixová;01.03.2014;9
Serra do Mar;01.03.2014;0
Não Informado;01.03.2014;0
Militar;01.03.2015;0
Canto do Forte;01.03.2015;9
Boqueirão;01.03.2015;30
Guilhermina;01.03.2015;10
Aviação;01.03.2015;9
Tupi;01.03.2015;22
Ocian;01.03.2015;10
Mirim;01.03.2015;11
Maracanã;01.03.2015;1
Caiçara;01.03.2015;12
Real ;01.03.2015;1
Flórida;01.03.2015;0
Solemar;01.03.2015;0
Cidade da Criança;01.03.2015;1
Princesa;01.03.2015;1
Imperador;01.03.2015;0
Melvi;01.03.2015;4
Samambaia;01.03.2015;10
Esmeralda;01.03.2015;1
Ribeirópolis;01.03.2015;2
Andaraguá;01.03.2015;0
Nova Mirim;01.03.2015;7
Anhanguera;01.03.2015;5
Quietude;01.03.2015;3
Santa Marina;01.03.2015;0
Tupiry;01.03.2015;3
Antártica;01.03.2015;5
Vila Sônia;01.03.2015;5
Glória;01.03.2015;2
Sítio do Campo;01.03.2015;8
Xixová;01.03.2015;21
Serra do Mar;01.03.2015;0
Não Informado;01.03.2015;0
Militar;01.03.2016;0
Canto do Forte;01.03.2016;8
Boqueirão;01.03.2016;23
Guilhermina;01.03.2016;17
Aviação;01.03.2016;8
Tupi;01.03.2016;9
Ocian;01.03.2016;17
Mirim;01.03.2016;8
Maracanã;01.03.2016;1
Caiçara;01.03.2016;9
Real ;01.03.2016;0
Flórida;01.03.2016;2
Solemar;01.03.2016;1
Cidade da Criança;01.03.2016;0
Princesa;01.03.2016;1
Imperador;01.03.2016;0
Melvi;01.03.2016;3
Samambaia;01.03.2016;5
Esmeralda;01.03.2016;6
Ribeirópolis;01.03.2016;3
Andaraguá;01.03.2016;0
Nova Mirim;01.03.2016;6
Anhanguera;01.03.2016;1
Quietude;01.03.2016;8
Santa Marina;01.03.2016;0
Tupiry;01.03.2016;4
Antártica;01.03.2016;4
Vila Sônia;01.03.2016;4
Glória;01.03.2016;3
Sítio do Campo;01.03.2016;12
Xixová;01.03.2016;7
Serra do Mar;01.03.2016;0
Não Informado;01.03.2016;0
Militar;01.03.2017;0
Canto do Forte;01.03.2017;7
Boqueirão;01.03.2017;18
Guilhermina;01.03.2017;16
